player,position,squad,age,minutes,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,progressive_passes,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,progressive_carries
Max Aarons,DF,Norwich City,21-353,1530.0,0.03,0.05,0.08,0.03,0.08,63.0,1.35,19.0,0.0,1.0,2.0,1.0,101.0
Che Adams,FW,Southampton,25-163,858.0,0.25,0.15,0.4,0.25,0.4,16.0,2.1,14.0,0.0,1.0,0.0,4.0,16.0
Rayan Aït Nouri,DF,Wolves,20-200,718.0,0.04,0.07,0.11,0.04,0.11,17.0,1.88,6.0,5.0,3.0,0.0,0.0,60.0
Kristoffer Ajer,DF,Brentford,23-250,565.0,0.03,0.05,0.07,0.03,0.07,12.0,0.96,4.0,1.0,0.0,1.0,0.0,15.0
Nathan Aké,DF,Manchester City,26-308,401.0,0.06,0.0,0.06,0.06,0.06,11.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Marc Albrighton,"FW,MF",Leicester City,32-035,317.0,0.01,0.07,0.08,0.01,0.08,5.0,1.14,2.0,2.0,0.0,0.0,0.0,7.0
Thiago Alcántara,MF,Liverpool,30-256,676.0,0.19,0.13,0.33,0.19,0.33,79.0,3.86,23.0,0.0,0.0,5.0,0.0,65.0
Trent Alexander-Arnold,DF,Liverpool,23-077,1414.0,0.12,0.43,0.55,0.12,0.55,148.0,5.35,51.0,28.0,1.0,3.0,1.0,87.0
Alisson,GK,Liverpool,29-082,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Allan,MF,Everton,30-349,1321.0,0.01,0.03,0.04,0.01,0.04,69.0,1.29,18.0,0.0,0.0,0.0,1.0,59.0
Dele Alli,MF,Tottenham,25-256,596.0,0.22,0.11,0.34,0.11,0.22,18.0,1.06,4.0,0.0,0.0,0.0,3.0,17.0
Miguel Almirón,MF,Newcastle Utd,27-316,959.0,0.08,0.04,0.12,0.08,0.12,19.0,2.72,21.0,0.0,0.0,6.0,1.0,47.0
Marcos Alonso,DF,Chelsea,30-360,1013.0,0.09,0.2,0.29,0.09,0.29,45.0,3.38,28.0,6.0,1.0,2.0,1.0,56.0
Steven Alzate,MF,Brighton,23-106,90.0,0.0,0.14,0.14,0.0,0.14,3.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0
Daniel Amartey,DF,Leicester City,27-002,606.0,0.0,0.0,0.01,0.0,0.01,25.0,1.04,6.0,0.0,0.0,0.0,0.0,25.0
Joachim Andersen,DF,Crystal Palace,25-206,1034.0,0.02,0.05,0.07,0.02,0.07,29.0,0.96,8.0,1.0,0.0,1.0,0.0,25.0
Michail Antonio,FW,West Ham,31-270,1435.0,0.34,0.24,0.59,0.32,0.57,17.0,3.76,40.0,0.0,5.0,6.0,5.0,76.0
Cameron Archer,"MF,FW",Aston Villa,20-155,27.0,0.07,0.0,0.07,0.07,0.07,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Armstrong,"FW,MF",Southampton,24-316,1089.0,0.32,0.14,0.46,0.32,0.46,20.0,2.15,15.0,0.0,4.0,4.0,3.0,54.0
Stuart Armstrong,MF,Southampton,29-268,125.0,0.24,0.17,0.41,0.24,0.41,3.0,4.32,6.0,0.0,0.0,0.0,0.0,11.0
Kepa Arrizabalaga,GK,Chelsea,27-081,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Ashby,DF,West Ham,20-039,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pierre-Emerick Aubameyang,FW,Arsenal,32-188,1037.0,0.5,0.07,0.57,0.36,0.43,13.0,2.0,14.0,0.0,1.0,5.0,3.0,29.0
Jordan Ayew,FW,Crystal Palace,30-103,1048.0,0.16,0.12,0.28,0.16,0.28,23.0,2.49,18.0,0.0,1.0,2.0,5.0,78.0
Luke Ayling,DF,Leeds United,30-120,808.0,0.05,0.01,0.06,0.05,0.06,50.0,1.0,6.0,0.0,0.0,3.0,0.0,43.0
César Azpilicueta,DF,Chelsea,32-117,940.0,0.03,0.15,0.18,0.03,0.18,58.0,2.49,24.0,0.0,1.0,1.0,0.0,65.0
Daniel Bachmann,GK,Watford,27-167,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leon Bailey,"FW,MF",Aston Villa,24-136,424.0,0.24,0.06,0.3,0.24,0.3,11.0,2.76,9.0,0.0,1.0,1.0,2.0,30.0
Eric Bailly,DF,Manchester Utd,27-255,152.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Folarin Balogun,FW,Arsenal,20-173,70.0,0.35,0.0,0.35,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Patrick Bamford,FW,Leeds United,28-109,459.0,0.63,0.11,0.74,0.63,0.74,6.0,1.76,7.0,0.0,1.0,0.0,1.0,8.0
