,player,position,squad,age,minutes,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,progressive_passes,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,progressive_carries,year,progressive_passes_per90,progressive_carries_per90
0,Patrick van Aanholt 18,DF,Crystal Palace,27,3195.0,0.08,0.1,0.17,0.08,0.17,216.0,1.97,59.0,5.0,1.0,3.0,2.0,205.0,18,6.084507042253521,5.774647887323944
1,Sergio Agüero 18,FW,Manchester City,30,2459.0,0.72,0.19,0.91,0.66,0.86,63.0,2.64,49.0,1.0,6.0,8.0,7.0,138.0,18,2.3058153721024808,5.050833672224481
2,Nathan Aké 18,DF,Bournemouth,23,3411.0,0.08,0.02,0.1,0.08,0.1,66.0,0.34,11.0,0.0,0.0,1.0,1.0,57.0,18,1.741424802110818,1.503957783641161
3,Marc Albrighton 18,"FW,MF",Leicester City,28,1625.0,0.07,0.16,0.22,0.07,0.22,80.0,2.22,35.0,2.0,0.0,2.0,0.0,86.0,18,4.43076923076923,4.763076923076922
4,Toby Alderweireld 18,DF,Tottenham,29,2922.0,0.04,0.02,0.06,0.04,0.06,123.0,0.89,23.0,0.0,1.0,5.0,0.0,115.0,18,3.788501026694045,3.5420944558521557
5,Trent Alexander-Arnold 18,DF,Liverpool,19,2462.0,0.05,0.23,0.28,0.05,0.28,191.0,3.11,54.0,23.0,5.0,1.0,1.0,162.0,18,6.9821283509342,5.9220146222583265
6,Alisson 18,GK,Liverpool,25,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,1.0,3.0,0.0,0.0,0.0,1.0,18,0.0,0.02631578947368421
7,Dele Alli 18,MF,Tottenham,22,1825.0,0.29,0.14,0.42,0.29,0.42,96.0,3.06,45.0,1.0,5.0,3.0,5.0,111.0,18,4.734246575342466,5.4739726027397255
8,Miguel Almirón 18,"FW,MF",Newcastle Utd,24,759.0,0.2,0.1,0.3,0.19,0.29,19.0,3.32,22.0,0.0,1.0,2.0,2.0,65.0,18,2.2529644268774702,7.707509881422925
9,Marcos Alonso 18,DF,Chelsea,27,2759.0,0.09,0.11,0.21,0.09,0.21,135.0,1.96,52.0,1.0,0.0,4.0,3.0,253.0,18,4.4037694816962665,8.252990213845596
10,Daniel Amartey 18,DF,Leicester City,23,641.0,0.05,0.02,0.07,0.05,0.07,29.0,0.98,7.0,0.0,0.0,0.0,0.0,24.0,18,4.071762870514821,3.369734789391576
11,Luke Amos 18,MF,Tottenham,21,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
12,Felipe Anderson 18,"MF,FW",West Ham,25,3043.0,0.15,0.2,0.35,0.15,0.35,188.0,3.87,90.0,17.0,8.0,6.0,8.0,317.0,18,5.560302333223793,9.375616168255013
13,Florin Andone 18,FW,Brighton,25,881.0,0.21,0.01,0.22,0.21,0.22,4.0,1.33,6.0,0.0,2.0,3.0,2.0,19.0,18,0.4086265607264472,1.9409761634506242
14,Michail Antonio 18,"FW,MF",West Ham,28,2103.0,0.29,0.15,0.44,0.29,0.44,57.0,2.44,35.0,0.0,7.0,6.0,7.0,153.0,18,2.4393723252496433,6.547788873038516
15,Stuart Armstrong 18,"MF,FW",Southampton,26,1432.0,0.15,0.09,0.24,0.15,0.24,63.0,3.58,42.0,3.0,2.0,3.0,6.0,84.0,18,3.9594972067039107,5.279329608938547
16,Marko Arnautović 18,FW,West Ham,29,1990.0,0.43,0.17,0.6,0.4,0.56,39.0,2.71,48.0,0.0,3.0,7.0,2.0,66.0,18,1.763819095477387,2.984924623115578
17,Kepa Arrizabalaga 18,GK,Chelsea,23,3240.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,2.0,0.0,0.0,0.0,0.0,18,0.027777777777777776,0.0
18,Harry Arter 18,MF,Cardiff City,28,1997.0,0.05,0.03,0.08,0.05,0.08,67.0,1.35,23.0,1.0,1.0,2.0,1.0,37.0,18,3.019529293940911,1.6675012518778167
19,Christian Atsu 18,"MF,FW",Newcastle Utd,26,1493.0,0.13,0.07,0.2,0.13,0.2,21.0,1.75,23.0,0.0,0.0,2.0,4.0,79.0,18,1.2659075686537173,4.762223710649699
20,Pierre-Emerick Aubameyang 18,FW,Arsenal,29,2726.0,0.67,0.14,0.8,0.53,0.67,66.0,2.01,44.0,0.0,5.0,5.0,5.0,144.0,18,2.179016874541453,4.75421863536317
21,Serge Aurier 18,"DF,MF",Tottenham,25,564.0,0.02,0.09,0.11,0.02,0.11,27.0,1.44,7.0,1.0,1.0,0.0,0.0,25.0,18,4.308510638297872,3.9893617021276597
22,Charlie Austin 18,FW,Southampton,29,983.0,0.32,0.04,0.35,0.27,0.3,7.0,1.74,13.0,0.0,1.0,4.0,1.0,11.0,18,0.6408952187182095,1.007121057985758
23,Jordan Ayew 18,FW,Crystal Palace,26,1181.0,0.21,0.07,0.28,0.21,0.28,17.0,2.59,20.0,0.0,2.0,5.0,4.0,44.0,18,1.2955122777307366,3.353090601185436
24,Floyd Ayité 18,"FW,MF",Fulham,29,476.0,0.07,0.06,0.13,0.07,0.13,20.0,2.84,11.0,1.0,2.0,0.0,0.0,27.0,18,3.7815126050420167,5.105042016806723
25,César Azpilicueta 18,DF,Chelsea,28,3402.0,0.02,0.07,0.09,0.02,0.09,155.0,1.4,49.0,0.0,1.0,0.0,2.0,192.0,18,4.1005291005291005,5.07936507936508
26,Ryan Babel 18,FW,Fulham,31,1251.0,0.34,0.16,0.5,0.34,0.5,29.0,2.95,27.0,6.0,5.0,1.0,1.0,74.0,18,2.0863309352517985,5.323741007194244
27,Juninho Bacuna 18,"MF,DF",Huddersfield,20,1412.0,0.03,0.1,0.13,0.03,0.13,81.0,2.55,29.0,5.0,2.0,0.0,2.0,68.0,18,5.162889518413598,4.334277620396601
28,Leandro Bacuna 18,"MF,DF",Cardiff City,26,561.0,0.01,0.0,0.02,0.01,0.02,15.0,0.8,3.0,1.0,0.0,1.0,0.0,16.0,18,2.406417112299465,2.5668449197860963
29,Eric Bailly 18,DF,Manchester Utd,24,638.0,0.02,0.0,0.02,0.02,0.02,8.0,0.28,1.0,0.0,0.0,0.0,1.0,8.0,18,1.1285266457680252,1.1285266457680252
30,Leighton Baines 18,DF,Everton,33,375.0,0.02,0.03,0.05,0.02,0.05,20.0,2.16,3.0,6.0,0.0,0.0,0.0,16.0,18,4.8,3.84
31,Fabián Balbuena 18,DF,West Ham,26,2013.0,0.09,0.0,0.1,0.09,0.1,39.0,0.36,5.0,0.0,0.0,3.0,0.0,25.0,18,1.7436661698956781,1.1177347242921014
32,Leon Balogun 18,DF,Brighton,30,594.0,0.03,0.0,0.03,0.03,0.03,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,0.7575757575757576,0.15151515151515152
33,Sol Bamba 18,DF,Cardiff City,33,2474.0,0.09,0.01,0.11,0.09,0.11,38.0,0.58,11.0,1.0,0.0,3.0,1.0,20.0,18,1.3823767178658044,0.7275666936135813
34,Phil Bardsley 18,DF,Burnley,33,1670.0,0.01,0.04,0.05,0.01,0.05,54.0,0.92,15.0,0.0,1.0,0.0,1.0,52.0,18,2.9101796407185625,2.802395209580838
35,Ross Barkley 18,MF,Chelsea,24,1245.0,0.28,0.15,0.42,0.28,0.42,66.0,3.54,40.0,0.0,2.0,3.0,1.0,85.0,18,4.771084337349397,6.144578313253012
36,Ashley Barnes 18,FW,Burnley,28,2388.0,0.43,0.13,0.57,0.38,0.51,39.0,1.66,28.0,0.0,0.0,7.0,8.0,40.0,18,1.4698492462311556,1.507537688442211
37,Harvey Barnes 18,"FW,MF",Leicester City,20,1004.0,0.28,0.13,0.41,0.28,0.41,30.0,3.94,35.0,0.0,6.0,3.0,0.0,94.0,18,2.6892430278884465,8.426294820717132
38,Antonio Barreca 18,DF,Newcastle Utd,23,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,18.0,18.0
39,Michy Batshuayi 18,FW,Crystal Palace,24,750.0,0.43,0.01,0.43,0.43,0.43,7.0,2.28,8.0,0.0,5.0,4.0,1.0,18.0,18,0.84,2.1599999999999997
40,Jan Bednarek 18,DF,Southampton,22,2151.0,0.02,0.02,0.04,0.02,0.04,62.0,0.59,11.0,1.0,0.0,1.0,0.0,38.0,18,2.5941422594142263,1.589958158995816
41,Asmir Begović 18,GK,Bournemouth,31,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,18,0.0,0.0
42,Héctor Bellerín 18,DF,Arsenal,23,1533.0,0.06,0.12,0.18,0.06,0.18,85.0,1.82,27.0,0.0,2.0,2.0,0.0,105.0,18,4.990215264187866,6.164383561643835
43,Joe Bennett 18,DF,Cardiff City,28,2639.0,0.02,0.04,0.05,0.02,0.05,76.0,0.78,21.0,1.0,0.0,0.0,1.0,57.0,18,2.591890867752937,1.9439181508147025
44,Ryan Bennett 18,DF,Wolves,28,3060.0,0.04,0.02,0.05,0.04,0.05,74.0,0.56,14.0,3.0,1.0,1.0,0.0,61.0,18,2.176470588235294,1.7941176470588236
45,Christian Benteke 18,FW,Crystal Palace,27,814.0,0.38,0.13,0.52,0.38,0.52,15.0,1.66,11.0,0.0,2.0,1.0,1.0,11.0,18,1.6584766584766586,1.2162162162162162
46,Jóhann Berg Guðmundsson 18,"MF,FW",Burnley,27,1752.0,0.15,0.19,0.34,0.15,0.34,43.0,3.34,35.0,17.0,1.0,7.0,5.0,90.0,18,2.2089041095890414,4.623287671232877
47,Bernard 18,"FW,MF",Everton,25,2116.0,0.12,0.14,0.26,0.12,0.26,81.0,3.45,61.0,1.0,9.0,2.0,5.0,144.0,18,3.4451795841209827,6.12476370510397
48,Bernardo 18,DF,Brighton,23,1752.0,0.02,0.05,0.07,0.02,0.07,84.0,1.28,18.0,2.0,1.0,0.0,4.0,85.0,18,4.315068493150685,4.366438356164384
49,Ryan Bertrand 18,DF,Southampton,28,2160.0,0.04,0.08,0.12,0.04,0.12,82.0,1.83,34.0,7.0,0.0,1.0,2.0,99.0,18,3.4166666666666665,4.125
50,Marcus Bettinelli 18,GK,Fulham,26,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,1.0,1.0,0.0,0.0,0.0,0.0,18,0.0,0.0
51,Philip Billing 18,MF,Huddersfield,22,2188.0,0.08,0.05,0.12,0.08,0.12,88.0,2.34,32.0,12.0,0.0,6.0,4.0,105.0,18,3.619744058500914,4.319012797074954
52,Yves Bissouma 18,MF,Brighton,21,1774.0,0.08,0.06,0.14,0.08,0.14,48.0,2.38,29.0,2.0,9.0,2.0,5.0,126.0,18,2.4351747463359636,6.392333709131905
53,Willy Boly 18,DF,Wolves,27,3167.0,0.08,0.03,0.1,0.08,0.1,120.0,0.77,22.0,0.0,1.0,2.0,0.0,117.0,18,3.410167350805178,3.324913167035049
54,Léo Bonatini 18,FW,Wolves,24,135.0,0.96,0.15,1.12,0.96,1.12,3.0,6.0,8.0,0.0,0.0,1.0,0.0,7.0,18,2.0,4.666666666666667
55,Gaëtan Bong 18,DF,Brighton,30,1808.0,0.0,0.03,0.03,0.0,0.03,62.0,0.85,13.0,2.0,2.0,0.0,0.0,54.0,18,3.086283185840708,2.688053097345133
56,Artur Boruc 18,GK,Bournemouth,38,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
57,Robbie Brady 18,"MF,FW",Burnley,26,720.0,0.08,0.15,0.23,0.08,0.23,20.0,3.0,13.0,6.0,1.0,0.0,2.0,45.0,18,2.5,5.625
58,Miguel Britos 18,DF,Watford,33,185.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2.4324324324324325,0.972972972972973
59,David Brooks 18,"MF,FW",Bournemouth,21,2261.0,0.25,0.16,0.41,0.25,0.41,95.0,2.55,44.0,4.0,2.0,4.0,8.0,132.0,18,3.7815126050420167,5.254312251216276
60,Bruno 18,DF,Brighton,37,1131.0,0.0,0.02,0.03,0.0,0.03,45.0,1.27,12.0,3.0,0.0,1.0,0.0,24.0,18,3.580901856763926,1.9098143236074272
61,Joe Bryan 18,DF,Fulham,24,2345.0,0.03,0.08,0.11,0.03,0.11,106.0,1.65,29.0,6.0,1.0,5.0,2.0,129.0,18,4.068230277185501,4.950959488272921
62,David Button 18,GK,Brighton,29,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
63,Willy Caballero 18,GK,Chelsea,36,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
64,Gary Cahill 18,DF,Chelsea,32,24.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,22.5,0.0
65,Tom Cairney 18,"MF,FW",Fulham,27,2194.0,0.04,0.14,0.18,0.04,0.18,112.0,2.87,61.0,0.0,2.0,3.0,3.0,154.0,18,4.594348222424795,6.317228805834094
66,Dominic Calvert-Lewin 18,FW,Everton,21,1784.0,0.26,0.06,0.32,0.26,0.32,20.0,1.77,18.0,0.0,7.0,6.0,4.0,43.0,18,1.0089686098654709,2.169282511210762
